Tittle,Lyrics
1999 Bersatu Ke Alaf Baru ,KIBARKAN JALUR GEMILANG LAMBANG KECEMERLANGAN KITA RAKYAT PENGGERAK WAWASAN BAKTI JASA DICURAHKAN MELANGKAH DENGAN HARAPAN TABAH HADAPI CABARAN SEPAKAT BERSATU PADU TINGKATKAN PENCAPAIAN DENGAN SEMANGAT YANG JITU TEROKAI DUNIA BARU WARGA MALAYSIA SATU TENAGA WAWASAN TERLAKSANA PERTAHANKAN KEMERDEKAAN JAYAKAN NILAI HIDUP MURNI MENDUKUNG CITA YANG SATU HARAPAN YANG BARU KEMEWAHAN DIRASAI KINI SUDAH TERBUKTI NEGARA MALAYSIA TERCINTA KE PUNCAK KEGEMILANGAN MENGORAK LANGKAH BERGANDING BAHU BERSATU KE ALAF BARU
2000 Keranamu Malaysia ,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2001 Keranamu Malaysia,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2002 Keranamu Malaysia,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2003 Keranamu Malaysia,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2004 Keranamu Malaysia,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2005 Keranamu Malaysia,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2006 Keranamu Malaysia,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2006 Keranamu Malaysia,BURUH NELAYAN DAN JUGA PETANI GAYA HIDUP KINI DAH BERUBAH ANAK-ANAK TERASUH MINDANYA LAHIR GENERASI BIJAK PANDAI PAKAR IT PAKAR EKONOMI JAGUH SUKAN DAN JUGA JUTAWAN BERKERETA JENAMA NEGARA MEGAH MENYUSUR DI JALAN RAYA ALAM SIBER TEKNOLOGI TERKINI KEJAYAAN SEMAKIN HAMPIRI BIAR DI KOTA ATAUPUN DESA KITA SEMUA PASTI MERASA BANGGA KERANAMU KAMI MENDAKAP TUAH KERANAMU KAMI BANGSA BERJAYA KERANAMU KAMI HIDUP SELESA LIMPAH BUDI KEMAKMURAN NEGARA KERANAMU KAMI BEBAS MERDEKA KERANAMU NYAWA DIPERTARUHKAN KERANAMU RELA KAMI BERJUANG DEMI BANGSA KEDAULATAN NEGARA ULANG 2 KALI KERANAMU NEGARA MALAYSIA MALAYSIA...... TERIMA KASIH MALAYSIA
2007 Malaysiaku Gemilang,"MARILAH KITA SEMUA ATAS NAMA NEGARA BANGSA DENGAN TEKAD MULIA MAJU BERWAWASAN MENCIPTA KEAGUNGAN BERPADULAH KITA SEMUA DI DALAM SATU SUARA DENGAN DEGUPAN MERDEKA MENJULANG BUDAYA BANGSA UNTUK MALAYSIA TERCINTA * KORUS * MALAYSIAKU GEMILANG MERDEKANYA TERBILANG BERDAULAT DAN MAKMUR BERJAYA KAMI SYUKUR MALAYSIA, KEBEBASAN KEDAMAIAN MALAYSIA, KEBAHAGIAAN KEBANGGAAN MALAYSIA, CEMERLANG TERBILANG MALAYSIAKU GAGAH GEMILANG"
