anger,fear,sadness,trust,anticipation,joy,disgust,surprise
0.001282051282051282,0.002564102564102564,0.0,0.011538461538461537,0.002564102564102564,0.005128205128205128,0.001282051282051282,0.0
0.001282051282051282,0.002564102564102564,0.0,0.011538461538461537,0.002564102564102564,0.005128205128205128,0.001282051282051282,0.0
0.0,0.0,0.0,0.0058823529411764705,0.011764705882352941,0.01764705882352941,0.0,0.0058823529411764705
0.017857142857142856,0.017857142857142856,0.0,0.0,0.008928571428571428,0.0,0.0,0.0
0.0,0.0,0.0,0.004273504273504273,0.008547008547008546,0.004273504273504273,0.0,0.0021367521367521365
0.0,0.0013888888888888887,0.0,0.009722222222222222,0.004166666666666667,0.0027777777777777775,0.0,0.0
0.0,0.0008960573476702509,0.0,0.0026881720430107525,0.0062724014336917565,0.0017921146953405018,0.0,0.0
0.0,0.0015151515151515152,0.0,0.0030303030303030303,0.004545454545454545,0.0030303030303030303,0.0,0.0
0.0015568240788790865,0.0015568240788790865,0.0005189413596263622,0.005708354955889985,0.0005189413596263622,0.0010378827192527244,0.0,0.0010378827192527244
0.002105263157894737,0.002105263157894737,0.0,0.01263157894736842,0.004210526315789474,0.002105263157894737,0.0,0.0
0.0006925207756232687,0.0006925207756232687,0.0,0.00554016620498615,0.004847645429362881,0.0034626038781163434,0.0006925207756232687,0.0006925207756232687
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
0.0,0.0,0.0,0.006428571428571428,0.004285714285714286,0.0035714285714285713,0.0,0.002142857142857143
